replication,cohort,scenario,planned,reason,winner,winner_category,false_acceptances,invalid_attempts,gini,hhi,top1_share,effective_miners,rank_stability_tau_b,validator_disagreement_tv,hardware_pair_tau_b,honest_weight,gaming_weight,sybil_weight,safe_no_update,strategy_evaluations,duplicate_cache_hits,trial_pairs,injected_false_claims,accepted_injected_false_claims,sybil_strategy_allocation_gain,behavior_equivalent_replica_allocation_gain
290,36,slow-worker,True,,aggregate-advisor,honest,0,95,0.16392992402548018,0.0837701727573275,0.10592222603627022,11.93742315533817,0.6686223161906014,0.06226423045220366,1.0,0.845372932446344,0.0,0.15462706755365593,False,456,24,4540,0,0,0.0,0.0
291,36,order-bias,True,,warm-specialist,honest,0,95,0.2397484563463871,0.09167625493569212,0.11596637621249972,10.907949945179013,0.6799548978209505,0.09483901891984325,,0.8503591386449065,0.0,0.1496408613550936,False,456,24,4540,0,0,0.0,0.0
292,36,timing-outliers,True,,aggregate-advisor,honest,0,95,0.143683956646046,0.08246376797122461,0.10199067491976484,12.126537806869871,0.6839080459770115,0.12812158447576472,,0.8527072483650887,0.0,0.1472927516349113,False,456,24,4520,0,0,0.0,0.07154946061931457
293,36,candidate-measurement-bias,True,,aggregate-advisor,honest,0,95,0.28078827164029135,0.11399217022906026,0.14502751064839478,8.772532341392935,0.7311066732745797,0.2180610928662067,,0.895280248278502,0.0,0.10471975172149801,False,456,24,4540,0,0,0.0,0.0
294,36,false-accept-claim,True,,aggregate-advisor,honest,0,95,0.16392992402548015,0.0837701727573275,0.10592222603627022,11.93742315533817,0.6686223161906014,0.06226423045220366,,0.8453729324463441,0.0,0.15462706755365593,False,456,24,4540,95,0,0.0,0.0
295,36,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,456,24,0,0,0,,
296,37,honest,True,,aggregate-advisor,honest,0,96,0.14520134689520756,0.0896366349340726,0.10922948869157087,11.156152846829826,0.6997828094574492,0.08108717215164184,,0.9200451848247221,0.0,0.07995481517527792,False,456,24,4530,0,0,0.0,0.0
297,37,fast-worker,True,,aggregate-advisor,honest,0,96,0.14520134689520758,0.0896366349340726,0.10922948869157088,11.156152846829826,0.6997828094574492,0.08108717215164184,1.0,0.9200451848247221,0.0,0.07995481517527792,False,456,24,4530,0,0,0.0,0.0
298,37,slow-worker,True,,aggregate-advisor,honest,0,96,0.14520134689520756,0.08963663493407262,0.10922948869157087,11.156152846829825,0.6997828094574492,0.08108717215164185,1.0,0.9200451848247221,0.0,0.07995481517527792,False,456,24,4530,0,0,0.0,0.0
299,37,order-bias,True,,warm-specialist,honest,0,96,0.2271852361215917,0.09870156162529012,0.11995473914512159,10.131551958583925,0.6647936689845768,0.10797583905784276,,0.9226172113007978,0.0,0.07738278869920229,False,456,24,4530,0,0,0.0,0.0
300,37,timing-outliers,True,,warm-specialist,honest,0,94,0.16889467974540506,0.0913834925046659,0.11980158517976203,10.942895402568922,0.5,0.24535827572992797,,0.8380687058129124,0.0,0.16193129418708757,False,456,24,4520,0,0,0.0,0.0
301,37,candidate-measurement-bias,True,,aggregate-advisor,honest,0,96,0.18438255723011565,0.12333819369845336,0.15252607267173587,8.107788593409081,0.6673401275350299,0.220818473740387,,0.9471284272698841,0.0,0.0528715727301159,False,456,24,4530,0,0,0.0,0.0
302,37,false-accept-claim,True,,aggregate-advisor,honest,0,96,0.14520134689520756,0.0896366349340726,0.10922948869157087,11.156152846829826,0.6997828094574492,0.08108717215164184,,0.9200451848247221,0.0,0.07995481517527792,False,456,24,4530,96,0,0.0,0.0
303,37,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,456,24,0,0,0,,
304,38,honest,True,,warm-specialist,honest,0,95,0.1422193807502199,0.09756077796380755,0.12197476089577457,10.250020765219537,0.39432687168206443,0.07692465611154685,,0.8162062064514718,0.0,0.1837937935485282,False,456,24,4500,0,0,0.0,0.09211192682064359
305,38,fast-worker,True,,warm-specialist,honest,0,95,0.14221938075021995,0.09756077796380755,0.1219747608957746,10.250020765219537,0.39432687168206443,0.07692465611154685,1.0,0.8162062064514718,0.0,0.18379379354852823,False,456,24,4500,0,0,0.0,0.0921119268206436
306,38,slow-worker,True,,warm-specialist,honest,0,95,0.14221938075021992,0.09756077796380755,0.1219747608957746,10.250020765219537,0.39432687168206443,0.07692465611154686,1.0,0.8162062064514718,0.0,0.18379379354852823,False,456,24,4500,0,0,0.0,0.0921119268206436
307,38,order-bias,True,,warm-specialist,honest,0,95,0.24107202296807487,0.10893888652390275,0.14061905718770526,9.17945861123324,0.4062761708239451,0.10298505258421949,,0.8176659106154447,0.0,0.1823340893845552,False,456,24,4500,0,0,0.0,0.09131527265357915
308,38,timing-outliers,True,,warm-specialist,honest,0,96,0.13833126006629995,0.10726616461055948,0.12748786570466528,9.322604230612699,0.47805103537939936,0.18681140508229485,,0.813120579752793,0.0,0.18687942024720708,False,456,24,4500,0,0,0.0,0.09365010784783988
309,38,candidate-measurement-bias,True,,warm-specialist,honest,0,95,0.2936418258113548,0.1419615321530719,0.18888888296972334,7.044161786882779,0.43590637505786944,0.2279891382150613,,0.855281130845265,0.0,0.14471886915473497,False,456,24,4500,0,0,0.0,0.07031806641712104
310,38,false-accept-claim,True,,warm-specialist,honest,0,95,0.1422193807502199,0.09756077796380755,0.12197476089577457,10.250020765219537,0.39432687168206443,0.07692465611154685,,0.8162062064514718,0.0,0.1837937935485282,False,456,24,4500,95,0,0.0,0.09211192682064359
311,38,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,456,24,0,0,0,,
312,39,honest,True,,aggregate-advisor,honest,0,96,0.1380095276434786,0.10700488009551433,0.12833276611072095,9.345368165520894,0.6680456776455709,0.06770439428401641,,0.8109646198615688,0.0,0.18903538013843119,False,456,24,4500,0,0,0.0,0.09483350887267675
313,39,fast-worker,True,,aggregate-advisor,honest,0,96,0.13800952764347868,0.10700488009551434,0.12833276611072097,9.345368165520894,0.6680456776455709,0.06770439428401641,1.0,0.8109646198615689,0.0,0.18903538013843119,False,456,24,4500,0,0,0.0,0.09483350887267675
314,39,slow-worker,True,,aggregate-advisor,honest,0,96,0.13800952764347862,0.10700488009551432,0.12833276611072095,9.345368165520895,0.6680456776455709,0.06770439428401641,1.0,0.8109646198615688,0.0,0.18903538013843113,False,456,24,4500,0,0,0.0,0.09483350887267675
315,39,order-bias,True,,warm-specialist,honest,0,96,0.16884273358477564,0.11200165871804066,0.13217796762632766,8.928439198543094,0.6557879587896889,0.09089065277464241,,0.8276464615157141,0.0,0.172353538484286,False,456,24,4500,0,0,0.0,0.08591615984515301
316,39,timing-outliers,True,,warm-specialist,honest,0,93,0.14694084905484656,0.09764821643445327,0.12257434380943946,10.240842449705712,0.532245658143894,0.2562259594030461,,0.818902424150995,0.0,0.181097575849005,False,456,24,4480,0,0,0.0,0.0
317,39,candidate-measurement-bias,True,,aggregate-advisor,honest,0,96,0.1664830505803364,0.12131393197888381,0.1474895177241947,8.24307632015474,0.6949232066139948,0.15350179965277927,,0.8879383302861575,0.0,0.1120616697138424,False,456,24,4500,0,0,0.0,0.05577073208813164
318,39,false-accept-claim,True,,aggregate-advisor,honest,0,96,0.1380095276434786,0.10700488009551433,0.12833276611072095,9.345368165520894,0.6680456776455709,0.06770439428401641,,0.8109646198615688,0.0,0.18903538013843119,False,456,24,4500,96,0,0.0,0.09483350887267675
319,39,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,456,24,0,0,0,,
320,40,honest,True,,aggregate-advisor,honest,0,96,0.16217975725043934,0.10886463307570407,0.13531636959858026,9.185719657040535,0.4540733673914681,0.09744423636164358,,0.8019305016067555,0.0,0.1980694983932445,False,456,24,4520,0,0,0.0,0.0
321,40,fast-worker,True,,aggregate-advisor,honest,0,96,0.16217975725043945,0.10886463307570408,0.13531636959858034,9.185719657040533,0.4540733673914681,0.09744423636164357,1.0,0.8019305016067555,0.0,0.19806949839324448,False,456,24,4520,0,0,0.0,0.0
322,40,slow-worker,True,,aggregate-advisor,honest,0,96,0.16217975725043937,0.10886463307570407,0.13531636959858032,9.185719657040535,0.4540733673914681,0.09744423636164358,1.0,0.8019305016067555,0.0,0.1980694983932445,False,456,24,4520,0,0,0.0,0.0
323,40,order-bias,True,,warm-specialist,honest,0,96,0.25892152437417,0.12271272357233036,0.15121289865861676,8.149114214799182,0.46602266653334884,0.13026618027294448,,0.803761025788677,0.0,0.19623897421132297,False,456,24,4520,0,0,0.0,0.0
324,40,timing-outliers,True,,warm-specialist,honest,0,94,0.15491268500824973,0.09037930942299745,0.11092101313130971,11.064479319262704,0.7183908045977011,0.2851779264893561,,0.8464972137258299,0.0,0.15350278627417008,False,456,24,4520,0,0,0.0,0.0
325,40,candidate-measurement-bias,True,,aggregate-advisor,honest,0,96,0.1896778439183657,0.1606881189878564,0.19172177517844413,6.223235459465254,0.5173686010408252,0.24698970803803386,,0.8589644338946126,0.0,0.14103556610538737,False,456,24,4520,0,0,0.0,0.0
326,40,false-accept-claim,True,,aggregate-advisor,honest,0,96,0.16217975725043934,0.10886463307570407,0.13531636959858026,9.185719657040535,0.4540733673914681,0.09744423636164358,,0.8019305016067555,0.0,0.1980694983932445,False,456,24,4520,96,0,0.0,0.0
327,40,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,456,24,0,0,0,,
328,41,honest,True,,warm-specialist,honest,0,96,0.10412109835592294,0.10381620522202734,0.1253384111396069,9.63240755969978,0.4779719656752296,0.09104295331709396,,0.8109042418104172,0.0,0.1890957581895827,False,456,24,4500,0,0,0.0,0.0
329,41,fast-worker,True,,warm-specialist,honest,0,96,0.10412109835592298,0.10381620522202732,0.1253384111396069,9.632407559699782,0.4779719656752296,0.09104295331709396,1.0,0.8109042418104172,0.0,0.18909575818958282,False,456,24,4500,0,0,0.0,0.0
330,41,slow-worker,True,,warm-specialist,honest,0,96,0.10412109835592301,0.10381620522202731,0.1253384111396069,9.632407559699784,0.4779719656752296,0.09104295331709394,1.0,0.8109042418104172,0.0,0.18909575818958274,False,456,24,4500,0,0,0.0,0.0
331,41,order-bias,True,,warm-specialist,honest,0,96,0.1769058834637046,0.11091874906164043,0.1387155521430124,9.015608348091575,0.4779719656752296,0.11290385545688575,,0.8175074723015192,0.0,0.18249252769848082,False,456,24,4500,0,0,0.0,0.0
332,41,timing-outliers,True,,aggregate-advisor,honest,0,95,0.19622465157726926,0.11203408982792115,0.15180693282107074,8.925854635280661,0.3187006902529329,0.2982198421753017,,0.8191395010854093,0.0,0.18086049891459058,False,456,24,4490,0,0,0.0,0.07226834488520326
333,41,candidate-measurement-bias,True,,warm-specialist,honest,0,96,0.20941126075284083,0.14302004172853966,0.1827709031949623,6.992027046797106,0.48644624462979635,0.24030587956937954,,0.8610576434835967,0.0,0.13894235651640338,False,456,24,4500,0,0,0.0,0.0
