replication,cohort,scenario,planned,reason,winner,winner_category,false_acceptances,invalid_attempts,gini,hhi,top1_share,effective_miners,rank_stability_tau_b,validator_disagreement_tv,hardware_pair_tau_b,honest_weight,gaming_weight,sybil_weight,safe_no_update,strategy_evaluations,duplicate_cache_hits,trial_pairs,injected_false_claims,accepted_injected_false_claims,sybil_strategy_allocation_gain
32,4,honest,True,,aggregate-rewrite,honest,0,95,0.10522253479187021,0.09445561097594897,0.11347766345753636,10.586983554154637,0.7190843619116071,0.06616348137817253,,0.9171591927594018,0.0,0.08284080724059827,False,408,24,4040,0,0,4.163336342344337e-17
33,4,fast-worker,True,,aggregate-rewrite,honest,0,95,0.10522253479187026,0.09445561097594897,0.11347766345753638,10.586983554154637,0.7190843619116071,0.06616348137817253,1.0,0.9171591927594017,0.0,0.08284080724059827,False,408,24,4040,0,0,4.163336342344337e-17
34,4,slow-worker,True,,aggregate-rewrite,honest,0,95,0.10522253479187027,0.09445561097594897,0.11347766345753639,10.586983554154637,0.7190843619116071,0.06616348137817257,1.0,0.9171591927594018,0.0,0.08284080724059824,False,408,24,4040,0,0,0.0
35,4,order-bias,True,,warm-specialist,honest,0,95,0.1689228860842774,0.10043403261011483,0.12123924230604816,9.956784309179366,0.7048450676163277,0.09630197310008698,,0.9211224092463582,0.0,0.07887759075364191,False,408,24,4040,0,0,-1.3877787807814457e-17
36,4,timing-outliers,True,,covering-join,honest,0,96,0.113895176732979,0.1326207351985859,0.15298330291587334,7.540299022642297,0.4023398993836124,0.3395114365415722,,0.8779533708049361,0.0,0.12204662919506394,False,408,24,4030,0,0,0.0
37,4,curriculum-skew,True,,aggregate-rewrite,honest,0,95,0.10522253479187027,0.09445561097594897,0.11347766345753638,10.586983554154637,0.7190843619116071,0.06616348137817253,,0.9171591927594017,0.0,0.08284080724059827,False,408,24,4040,0,0,-1.3877787807814457e-17
38,4,false-accept-claim,True,,aggregate-rewrite,honest,0,95,0.10522253479187021,0.09445561097594897,0.11347766345753636,10.586983554154637,0.7190843619116071,0.06616348137817253,,0.9171591927594018,0.0,0.08284080724059827,False,408,24,4040,95,0,4.163336342344337e-17
39,4,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,408,24,0,0,0,
40,5,honest,True,,aggregate-rewrite,honest,0,96,0.15988415969329667,0.10892155160295741,0.13149342526105,9.18091952679132,0.573924114224946,0.07236168568291697,,1.0,0.0,0.0,False,408,24,4030,0,0,0.0
41,5,fast-worker,True,,aggregate-rewrite,honest,0,96,0.1598841596932968,0.10892155160295744,0.13149342526105007,9.180919526791318,0.573924114224946,0.07236168568291697,1.0,1.0,0.0,0.0,False,408,24,4030,0,0,0.0
42,5,slow-worker,True,,aggregate-rewrite,honest,0,96,0.15988415969329675,0.10892155160295743,0.13149342526105,9.180919526791318,0.573924114224946,0.07236168568291697,1.0,1.0,0.0,0.0,False,408,24,4030,0,0,0.0
43,5,order-bias,True,,warm-specialist,honest,0,96,0.24780654085295054,0.1221509005324216,0.1457179312652767,8.186595396687865,0.5441098745249489,0.13379299216464086,,1.0,0.0,0.0,False,408,24,4030,0,0,0.0
44,5,timing-outliers,True,,warm-specialist,honest,0,95,0.15226511433261705,0.12025013803525304,0.15343473153151832,8.3159987700541,0.3292763870490873,0.36518078188149367,,0.8785401573128596,0.0,0.12145984268714041,False,408,24,4000,0,0,0.0
45,5,curriculum-skew,True,,aggregate-rewrite,honest,0,96,0.1598841596932968,0.10892155160295744,0.13149342526105007,9.180919526791318,0.573924114224946,0.07236168568291697,,1.0,0.0,0.0,False,408,24,4030,0,0,0.0
46,5,false-accept-claim,True,,aggregate-rewrite,honest,0,96,0.15988415969329667,0.10892155160295741,0.13149342526105,9.18091952679132,0.573924114224946,0.07236168568291697,,1.0,0.0,0.0,False,408,24,4030,96,0,0.0
47,5,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,408,24,0,0,0,
48,6,honest,True,,aggregate-rewrite,honest,0,95,0.1438553558436702,0.09800069748957752,0.11831981236576296,10.204009008265999,0.7048450676163277,0.020239365392379267,,0.913228432285488,0.0,0.08677156771451211,False,408,24,4040,0,0,0.0
49,6,fast-worker,True,,aggregate-rewrite,honest,0,95,0.14385535584367024,0.0980006974895775,0.11831981236576297,10.204009008266,0.7048450676163277,0.02023936539237928,1.0,0.9132284322854879,0.0,0.08677156771451212,False,408,24,4040,0,0,1.3877787807814457e-17
50,6,slow-worker,True,,aggregate-rewrite,honest,0,95,0.1438553558436702,0.0980006974895775,0.11831981236576294,10.204009008266,0.7048450676163277,0.02023936539237928,1.0,0.9132284322854879,0.0,0.08677156771451212,False,408,24,4040,0,0,1.3877787807814457e-17
51,6,order-bias,True,,warm-specialist,honest,0,95,0.21627436458584356,0.10730892148272675,0.12756076727427657,9.318889670892531,0.7048450676163277,0.06855609846700114,,0.916691174537763,0.0,0.08330882546223703,False,408,24,4040,0,0,0.0
52,6,timing-outliers,True,,aggregate-rewrite,honest,0,93,0.16031575159027756,0.09089649582496134,0.11455933631719355,11.001524216353642,0.6993177985805742,0.06778911784055743,,0.9150578027050497,0.0,0.08494219729495026,False,408,24,4020,0,0,0.0
53,6,curriculum-skew,True,,aggregate-rewrite,honest,0,95,0.14385535584367026,0.09800069748957753,0.11831981236576299,10.204009008265997,0.7048450676163277,0.020239365392379274,,0.913228432285488,0.0,0.08677156771451208,False,408,24,4040,0,0,0.0
54,6,false-accept-claim,True,,aggregate-rewrite,honest,0,95,0.1438553558436702,0.09800069748957752,0.11831981236576296,10.204009008265999,0.7048450676163277,0.020239365392379267,,0.913228432285488,0.0,0.08677156771451211,False,408,24,4040,95,0,0.0
55,6,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,408,24,0,0,0,
56,7,honest,True,,aggregate-rewrite,honest,0,93,0.16094333923233292,0.1089995753218067,0.13303439376762077,9.174347671058658,0.6037383539249432,0.0358315296142131,,0.9999999999999999,0.0,0.0,False,408,24,4020,0,0,0.0
57,7,fast-worker,True,,aggregate-rewrite,honest,0,93,0.16094333923233298,0.10899957532180671,0.1330343937676208,9.174347671058657,0.6037383539249432,0.03583152961421312,1.0,1.0,0.0,0.0,False,408,24,4020,0,0,0.0
58,7,slow-worker,True,,aggregate-rewrite,honest,0,93,0.160943339232333,0.10899957532180671,0.13303439376762086,9.174347671058657,0.6037383539249432,0.03583152961421312,1.0,1.0,0.0,0.0,False,408,24,4020,0,0,0.0
59,7,order-bias,True,,warm-specialist,honest,0,93,0.2493729186391775,0.12223423132300254,0.14522449495211867,8.181014345789205,0.5590169943749475,0.10007633473800398,,1.0,0.0,0.0,False,408,24,4020,0,0,0.0
60,7,timing-outliers,True,,warm-specialist,honest,0,95,0.1406834062836152,0.10743156662662533,0.12731951880824696,9.30825111650345,0.5441098745249489,0.14649542614533548,,0.9999999999999999,0.0,0.0,False,408,24,4030,0,0,0.0
61,7,curriculum-skew,True,,aggregate-rewrite,honest,0,93,0.16094333923233295,0.10899957532180668,0.13303439376762077,9.174347671058658,0.6037383539249432,0.03583152961421313,,0.9999999999999999,0.0,0.0,False,408,24,4020,0,0,0.0
62,7,false-accept-claim,True,,aggregate-rewrite,honest,0,93,0.16094333923233292,0.1089995753218067,0.13303439376762077,9.174347671058658,0.6037383539249432,0.0358315296142131,,0.9999999999999999,0.0,0.0,False,408,24,4020,93,0,0.0
63,7,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,408,24,0,0,0,
64,8,honest,True,,aggregate-rewrite,honest,0,93,0.1453515042385358,0.08966706222926482,0.10863171422571644,11.152367158446147,0.7832359344102431,0.04373501855506776,,0.9204302876328218,0.0,0.07956971236717829,False,408,24,4040,0,0,-1.3877787807814457e-17
65,8,fast-worker,True,,aggregate-rewrite,honest,0,93,0.1453515042385358,0.08966706222926482,0.10863171422571644,11.152367158446147,0.7832359344102431,0.04373501855506778,1.0,0.9204302876328218,0.0,0.07956971236717829,False,408,24,4040,0,0,-1.3877787807814457e-17
66,8,slow-worker,True,,aggregate-rewrite,honest,0,93,0.14535150423853582,0.08966706222926482,0.10863171422571644,11.152367158446147,0.7832359344102431,0.043735018555067784,1.0,0.9204302876328216,0.0,0.07956971236717833,False,408,24,4040,0,0,2.7755575615628914e-17
67,8,order-bias,True,,timeout-prone,honest,0,93,0.23156192089410133,0.09917309874932298,0.12182076090254267,10.0833795919564,0.8112086463534661,0.09803300839205853,,0.9246212045031208,0.0,0.0753787954968793,False,408,24,4040,0,0,2.7755575615628914e-17
68,8,timing-outliers,True,,aggregate-rewrite,honest,0,96,0.17779042789666238,0.11107380753251712,0.1361866267798692,9.003022604651845,0.5606267696908326,0.19654304363655398,,0.9045926324730494,0.0,0.09540736752695048,False,408,24,4040,0,0,-1.3877787807814457e-17
69,8,curriculum-skew,True,,aggregate-rewrite,honest,0,93,0.1453515042385358,0.08966706222926482,0.10863171422571644,11.152367158446147,0.7832359344102431,0.043735018555067784,,0.9204302876328218,0.0,0.07956971236717833,False,408,24,4040,0,0,2.7755575615628914e-17
70,8,false-accept-claim,True,,aggregate-rewrite,honest,0,93,0.1453515042385358,0.08966706222926482,0.10863171422571644,11.152367158446147,0.7832359344102431,0.04373501855506776,,0.9204302876328218,0.0,0.07956971236717829,False,408,24,4040,93,0,-1.3877787807814457e-17
71,8,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,408,24,0,0,0,
72,9,honest,True,,aggregate-rewrite,honest,0,94,0.18529399492789964,0.092917802070415,0.11621725829472682,10.762200328868946,0.6713450866373513,0.07209963082240431,,0.9154750315063825,0.0,0.08452496849361756,False,408,24,4050,0,0,2.7755575615628914e-17
73,9,fast-worker,True,,aggregate-rewrite,honest,0,94,0.18529399492789964,0.09291780207041499,0.11621725829472682,10.762200328868948,0.6713450866373513,0.07209963082240434,1.0,0.9154750315063824,0.0,0.08452496849361757,False,408,24,4050,0,0,-1.3877787807814457e-17
74,9,slow-worker,True,,aggregate-rewrite,honest,0,94,0.18529399492789966,0.09291780207041501,0.1162172582947268,10.762200328868945,0.6713450866373513,0.07209963082240435,1.0,0.9154750315063823,0.0,0.08452496849361757,False,408,24,4050,0,0,-1.3877787807814457e-17
75,9,order-bias,True,,warm-specialist,honest,0,94,0.26375334364850506,0.102615923479617,0.12651017606385753,9.745076261956887,0.6713450866373513,0.12901610566043067,,0.9180987628298691,0.0,0.08190123717013088,False,408,24,4050,0,0,-1.3877787807814457e-17
76,9,timing-outliers,True,,aggregate-rewrite,honest,0,94,0.16382380106233768,0.12109915912883527,0.16617074354755598,8.257695653659473,0.26940795304016235,0.36602395566664153,,0.8833471994875108,0.0,0.11665280051248912,False,408,24,3990,0,0,-1.3877787807814457e-17
77,9,curriculum-skew,True,,aggregate-rewrite,honest,0,94,0.1852939949278997,0.09291780207041501,0.11621725829472682,10.762200328868945,0.6713450866373513,0.07209963082240432,,0.9154750315063824,0.0,0.08452496849361756,False,408,24,4050,0,0,2.7755575615628914e-17
78,9,false-accept-claim,True,,aggregate-rewrite,honest,0,94,0.18529399492789964,0.092917802070415,0.11621725829472682,10.762200328868946,0.6713450866373513,0.07209963082240431,,0.9154750315063825,0.0,0.08452496849361756,False,408,24,4050,94,0,2.7755575615628914e-17
79,9,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,408,24,0,0,0,
80,10,honest,True,,aggregate-rewrite,honest,0,94,0.14461156618997445,0.08956987252076835,0.1099243443602359,11.164468273281647,0.7272905105237972,0.036809947414341966,,0.9193596661509482,0.0,0.08064033384905174,False,408,24,4030,0,0,0.0
81,10,fast-worker,True,,aggregate-rewrite,honest,0,94,0.14461156618997453,0.08956987252076837,0.10992434436023597,11.164468273281646,0.7272905105237972,0.03680994741434195,1.0,0.9193596661509482,0.0,0.08064033384905174,False,408,24,4030,0,0,0.0
82,10,slow-worker,True,,aggregate-rewrite,honest,0,94,0.14461156618997445,0.08956987252076837,0.10992434436023592,11.164468273281646,0.7272905105237972,0.03680994741434199,1.0,0.9193596661509483,0.0,0.08064033384905174,False,408,24,4030,0,0,0.0
83,10,order-bias,True,,warm-specialist,honest,0,94,0.22677919116944087,0.09863619668159432,0.1194104437886193,10.1382660082493,0.7133041545521858,0.08013808530984136,,0.9217279879350254,0.0,0.07827201206497464,False,408,24,4030,0,0,0.0
84,10,timing-outliers,True,,aggregate-rewrite,honest,0,95,0.1469923592187088,0.1077161598465301,0.13691281962015434,9.28365810129847,0.5460650354131487,0.15012173762984762,,0.9070960041035065,0.0,0.09290399589649344,False,408,24,4030,0,0,-2.7755575615628914e-17
85,10,curriculum-skew,True,,aggregate-rewrite,honest,0,94,0.1446115661899745,0.08956987252076838,0.10992434436023599,11.164468273281644,0.7272905105237972,0.03680994741434199,,0.9193596661509483,0.0,0.08064033384905175,False,408,24,4030,0,0,0.0
86,10,false-accept-claim,True,,aggregate-rewrite,honest,0,94,0.14461156618997445,0.08956987252076835,0.1099243443602359,11.164468273281647,0.7272905105237972,0.036809947414341966,,0.9193596661509482,0.0,0.08064033384905174,False,408,24,4030,94,0,0.0
87,10,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,408,24,0,0,0,
88,11,honest,True,,aggregate-rewrite,honest,0,95,0.15293829783543683,0.10850917354261438,0.1309255076562329,9.215810676203095,0.6043119725238845,0.04763601727017078,,0.9038435343711769,0.0,0.09615646562882306,False,408,24,4010,0,0,-1.3877787807814457e-17
89,11,fast-worker,True,,aggregate-rewrite,honest,0,95,0.1529382978354369,0.10850917354261441,0.13092550765623293,9.215810676203093,0.6043119725238845,0.04763601727017078,1.0,0.903843534371177,0.0,0.09615646562882307,False,408,24,4010,0,0,-2.7755575615628914e-17
90,11,slow-worker,True,,aggregate-rewrite,honest,0,95,0.15293829783543683,0.10850917354261441,0.13092550765623293,9.215810676203093,0.6043119725238845,0.04763601727017081,1.0,0.9038435343711768,0.0,0.09615646562882305,False,408,24,4010,0,0,-1.3877787807814457e-17
91,11,order-bias,True,,warm-specialist,honest,0,95,0.23124718357656088,0.120209990991843,0.14151772359011866,8.318776099632652,0.6043119725238845,0.09660465396691222,,0.9067205326642117,0.0,0.09327946733578817,False,408,24,4010,0,0,1.3877787807814457e-17
92,11,timing-outliers,True,,aggregate-rewrite,honest,0,95,0.18153673507968468,0.12333763947071777,0.14868035437393093,8.10782502641795,0.43404614656470597,0.22229184232293778,,0.8830011766535176,0.0,0.11699882334648236,False,408,24,4000,0,0,4.163336342344337e-17
93,11,curriculum-skew,True,,aggregate-rewrite,honest,0,95,0.15293829783543683,0.1085091735426144,0.1309255076562329,9.215810676203093,0.6043119725238845,0.04763601727017078,,0.9038435343711769,0.0,0.09615646562882306,False,408,24,4010,0,0,-2.7755575615628914e-17
94,11,false-accept-claim,True,,aggregate-rewrite,honest,0,95,0.15293829783543683,0.10850917354261438,0.1309255076562329,9.215810676203095,0.6043119725238845,0.04763601727017078,,0.9038435343711769,0.0,0.09615646562882306,False,408,24,4010,95,0,-1.3877787807814457e-17
95,11,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,408,24,0,0,0,
96,12,honest,True,,aggregate-rewrite,honest,0,95,0.1281012060590316,0.10633016936767134,0.12719759816054166,9.404668552178949,0.6479971753569365,0.04594345145517561,,0.9069910771276005,0.0,0.09300892287239938,False,408,24,4030,0,0,0.0
97,12,fast-worker,True,,aggregate-rewrite,honest,0,95,0.12810120605903158,0.10633016936767131,0.12719759816054163,9.40466855217895,0.6479971753569365,0.04594345145517561,1.0,0.9069910771276005,0.0,0.09300892287239938,False,408,24,4030,0,0,0.0
98,12,slow-worker,True,,aggregate-rewrite,honest,0,95,0.12810120605903155,0.10633016936767133,0.12719759816054158,9.40466855217895,0.6479971753569365,0.04594345145517564,1.0,0.9069910771276006,0.0,0.0930089228723994,False,408,24,4030,0,0,0.0
99,12,order-bias,True,,warm-specialist,honest,0,95,0.19096515925054616,0.11389816243905158,0.13558503815972867,8.77977290050762,0.6043119725238845,0.0872239977221115,,0.9116017777069336,0.0,0.08839822229306638,False,408,24,4030,0,0,-1.3877787807814457e-17
100,12,timing-outliers,True,,aggregate-rewrite,honest,0,96,0.17331791945078434,0.11018457644300346,0.13766790489750422,9.075680392684383,0.4878180983024128,0.22507910491418878,,0.8938035783486216,0.0,0.10619642165137841,False,408,24,4050,0,0,0.0
101,12,curriculum-skew,True,,aggregate-rewrite,honest,0,95,0.12810120605903158,0.10633016936767131,0.12719759816054163,9.40466855217895,0.6479971753569365,0.04594345145517561,,0.9069910771276005,0.0,0.09300892287239938,False,408,24,4030,0,0,0.0
102,12,false-accept-claim,True,,aggregate-rewrite,honest,0,95,0.1281012060590316,0.10633016936767134,0.12719759816054166,9.404668552178949,0.6479971753569365,0.04594345145517561,,0.9069910771276005,0.0,0.09300892287239938,False,408,24,4030,95,0,0.0
103,12,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,408,24,0,0,0,
104,13,honest,True,,warm-specialist,honest,0,95,0.14395956080079378,0.09771738219615146,0.11910309946219264,10.233593834847781,0.5624521246635342,0.03598262653940179,,0.9097527954113112,0.0,0.09024720458868883,False,408,24,4030,0,0,0.0
105,13,fast-worker,True,,warm-specialist,honest,0,95,0.14395956080079386,0.09771738219615146,0.11910309946219268,10.233593834847781,0.5624521246635342,0.0359826265394018,1.0,0.9097527954113112,0.0,0.09024720458868882,False,408,24,4030,0,0,0.0
106,13,slow-worker,True,,warm-specialist,honest,0,95,0.1439595608007938,0.09771738219615148,0.11910309946219264,10.233593834847781,0.5624521246635342,0.0359826265394018,1.0,0.9097527954113112,0.0,0.09024720458868883,False,408,24,4030,0,0,0.0
107,13,order-bias,True,,warm-specialist,honest,0,95,0.2376774240791665,0.10871509603183517,0.13486378927917667,9.198354566206415,0.548212830368255,0.08028642542886516,,0.91204380084227,0.0,0.08795619915772993,False,408,24,4030,0,0,-1.3877787807814457e-17
108,13,timing-outliers,True,,covering-join,honest,0,95,0.1314061003150891,0.11894655580246918,0.13928113131339184,8.407137081469333,0.4939145805736309,0.13629580442359152,,0.8846577126170071,0.0,0.11534228738299297,False,408,24,4030,0,0,-1.3877787807814457e-17
109,13,curriculum-skew,True,,warm-specialist,honest,0,95,0.14395956080079378,0.09771738219615146,0.11910309946219264,10.233593834847781,0.5624521246635342,0.03598262653940179,,0.9097527954113112,0.0,0.09024720458868883,False,408,24,4030,0,0,0.0
110,13,false-accept-claim,True,,warm-specialist,honest,0,95,0.14395956080079378,0.09771738219615146,0.11910309946219264,10.233593834847781,0.5624521246635342,0.03598262653940179,,0.9097527954113112,0.0,0.09024720458868883,False,408,24,4030,95,0,0.0
111,13,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,408,24,0,0,0,
112,14,honest,True,,warm-specialist,honest,0,94,0.15615223428203373,0.1211514357591087,0.1456377736109185,8.254132472588676,0.46995433291304134,0.06539211943884436,,1.0,0.0,0.0,False,408,24,4020,0,0,0.0
113,14,fast-worker,True,,warm-specialist,honest,0,94,0.15615223428203373,0.1211514357591087,0.14563777361091848,8.254132472588676,0.46995433291304134,0.06539211943884436,1.0,1.0,0.0,0.0,False,408,24,4020,0,0,0.0
114,14,slow-worker,True,,warm-specialist,honest,0,94,0.15615223428203376,0.1211514357591087,0.1456377736109185,8.254132472588676,0.46995433291304134,0.06539211943884436,1.0,1.0,0.0,0.0,False,408,24,4020,0,0,0.0
